Date,Production
43878,0
43879,50
43880,60
43881,72
43882,86
43883,104
43884,124
43885,149
43886,179
43887,215
43888,258
43889,310
43890,372
43891,446
43892,535
43893,642
43894,770
43895,924
43896,1109
43897,1331
43898,1597
43899,1917
43900,2300
43901,2760
43902,3312
43903,2269
43904,2386
43905,2502
43906,2618
43907,2734
43908,2850
43909,2966
43910,3082
43911,3198
43912,3315
43913,3431
43914,3547
43915,3663
43916,3779
43917,3895
43918,4011
43919,4128
43920,4244
43921,6366
43922,9548
43923,8498
43924,7448
43925,6398
43926,5348
43927,4298
43928,3248
43929,2198
43930,1148
43931,1378
43932,1654
43933,1984
43934,2381
43935,2857
43936,3429
43937,4115
43938,4938
43939,5925
43940,7110
43941,8532
43942,10239
43943,12287
43944,14744
43945,17693
43946,21231
43947,25477
43948,30573
43949,36688
43950,44025
43951,52830
43952,42264
43953,33811
43954,27049
43955,32459
43956,38951
43957,46741
43958,56089
43959,44871
43960,35897
43961,28718
43962,22974
43963,18379
43964,14703
43965,11763
43966,14115
43967,16938
43968,20326
43969,24391
43970,29269
43971,35123
43972,42148
43973,50577
43974,60693
43975,72831
43976,87398
